player_id,player_name,age,ioc,participation_number,Number_of_matchs,win_count,lose_count,win/lose_ratio,total_aces,total_doubleF,total_1stIn,total_1stWon,FirstSvcMade/FirstSvcWon,rank_2010,rank_2011,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,rank_points_2010,rank_points_2011,rank_points_2012,rank_points_2013,rank_points_2014,rank_points_2015,rank_points_2016,rank_points_2017,rank_points_2018,rank_points_2019,rank_points_2020,rank_points_2021,rank_points_2022,rank_points_2023,rank_points_2024,total_rank_points_
105723,Andrey Kuznetsov,29,RUS,9,177,78,99,0.79,882,201,7914,5639,71.25,272,244,137,138,81,84,45,70,99999,99999,99999,99999,99999,99999,99999,166,199,382,391,672,624,995,721,0,0,0,0,0,0,0,4150
106234,Aslan Karatsev,30,RUS,4,159,77,82,0.94,775,293,7647,5456,71.35000000000001,99999,99999,99999,99999,99999,207,99999,99999,99999,99999,114,22,45,50,86,0,0,0,0,0,240,0,0,0,0,586,2154,1015,933,675,5603
103900,David Nalbandian,31,ARG,5,123,77,46,1.67,401,241,4900,3465,70.71,25,58,45,93,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1435,850,945,585,0,0,0,0,0,0,0,0,0,0,0,3815
105376,Peter Gojowczyk,33,GER,2,175,76,99,0.77,1178,265,7415,5465,73.7,99999,99999,99999,162,122,102,209,62,60,122,120,101,111,99999,99999,0,0,0,321,458,539,261,778,856,465,463,758,490,0,0,5389
134868,Tallon Griekspoor,27,NED,11,154,76,78,0.97,1158,203,7789,5758,73.92,99999,99999,99999,99999,99999,99999,99999,99999,259,211,99999,133,48,23,27,0,0,0,0,0,0,0,0,197,244,0,593,955,1570,1605,5164
104098,Dmitry Tursunov,34,RUS,4,168,76,92,0.83,997,269,7767,5494,70.74000000000001,264,39,117,39,32,99999,1045,820,99999,99999,99999,99999,99999,99999,99999,173,1063,499,1070,1200,0,10,20,0,0,0,0,0,0,0,4035
103566,Michael Llodra,34,FRA,1,154,75,79,0.95,1183,205,6837,5071,74.17,34,30,121,55,192,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1215,1280,473,866,256,0,0,0,0,0,0,0,0,0,0,4090
200615,Alexei Popyrin,24,AUS,5,173,75,98,0.77,1593,245,9056,6738,74.4,99999,99999,99999,99999,99999,99999,99999,99999,174,90,96,71,84,40,46,0,0,0,0,0,0,0,0,315,610,585,912,629,1084,1047,5182
144750,Lloyd Harris,26,RSA,6,156,75,81,0.93,1569,167,7661,5704,74.46000000000001,99999,99999,99999,99999,99999,99999,311,230,129,99,90,32,40,162,99999,0,0,0,0,0,0,154,225,439,574,748,1640,1171,392,0,5343
104273,Edouard Roger Vasselin,32,FRA,9,181,74,107,0.69,792,171,9681,6752,69.74000000000001,106,107,102,52,51,149,186,99999,99999,99999,99999,99999,99999,99999,99999,517,521,545,908,885,385,290,0,0,0,0,0,0,0,0,4051
103997,Lukasz Kubot,32,POL,8,177,73,104,0.7,878,299,8620,5956,69.1,66,64,74,72,72,177,99999,99999,99999,99999,99999,99999,99999,99999,99999,745,747,675,686,713,282,0,0,0,0,0,0,0,0,0,3848
206909,Brandon Nakashima,22,USA,2,136,73,63,1.16,1001,103,6906,5168,74.83,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,223,63,49,122,87,0,0,0,0,0,0,0,0,0,0,229,992,927,495,695,3338
144707,Mikael Ymer,24,SWE,9,152,73,79,0.92,355,219,8028,5169,64.39,99999,99999,99999,99999,99999,99999,549,323,337,74,67,93,74,59,99999,0,0,0,0,0,0,60,146,136,765,759,782,712,831,0,4191
104559,Teymuraz Gabashvili,31,RUS,11,189,72,117,0.62,761,234,8622,6012,69.73,99,126,160,105,59,52,101,99999,99999,99999,99999,99999,99999,99999,99999,553,436,317,546,797,829,596,0,0,0,0,0,0,0,0,4074
104268,Alejandro Falla,33,COL,10,187,72,115,0.63,575,180,7871,5265,66.89,67,83,54,111,54,122,126,310,99999,99999,99999,99999,99999,99999,99999,730,622,809,512,853,448,481,161,0,0,0,0,0,0,0,4616
106045,Denis Kudla,31,USA,3,204,72,132,0.55,1166,236,9791,6817,69.63000000000001,793,394,185,104,136,94,56,178,63,111,99999,92,104,137,174,15,99,272,523,428,534,858,295,810,491,0,833,516,424,355,6453
104620,Simone Bolelli,33,ITA,11,165,70,95,0.74,581,92,7962,5476,68.78,109,138,84,76,76,62,84,312,141,99999,99999,99999,99999,99999,99999,503,404,623,652,687,775,667,154,384,0,0,0,0,0,0,4849
103908,Paul Henri Mathieu,35,FRA,2,183,68,115,0.59,880,249,8112,5797,71.46000000000001,108,99999,64,101,91,109,70,105,99999,99999,99999,99999,99999,99999,99999,520,0,718,549,620,492,741,568,0,0,0,0,0,0,0,4208
106423,Thanasi Kokkinakis,27,AUS,10,156,66,90,0.73,1551,181,7998,6024,75.32,99999,99999,99999,99999,184,72,99999,454,175,203,99999,243,81,69,99,0,0,0,0,283,704,0,85,319,239,0,258,655,766,609,3918
208103,Jiri Lehecka,22,CZE,6,121,65,56,1.16,677,118,5818,4145,71.24000000000001,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,74,31,31,0,0,0,0,0,0,0,0,0,0,0,0,715,1357,1305,3377
